county,county_code,deaths
"Burlington County, NJ",34005,30
"Camden County, NJ",34007,52
"Cumberland County, NJ",34011,24
"Essex County, NJ",34013,128
"Gloucester County, NJ",34015,24
"Hudson County, NJ",34017,60
"Mercer County, NJ",34021,25
"Middlesex County, NJ",34023,59
"Monmouth County, NJ",34025,37
"Morris County, NJ",34027,19
"Ocean County, NJ",34029,29
"Passaic County, NJ",34031,43
"Somerset County, NJ",34035,20
"Sussex County, NJ",34037,10
"Union County, NJ",34039,52
"Bernalillo County, NM",35001,38
"Dona Ana County, NM",35013,18
"McKinley County, NM",35031,12
"Otero County, NM",35035,10
"San Juan County, NM",35045,10
"Albany County, NY",36001,11
"Bronx County, NY",36005,177
"Erie County, NY",36029,62
"Kings County, NY",36047,281
"Monroe County, NY",36055,38
"Nassau County, NY",36059,58
"New York County, NY",36061,79
"Niagara County, NY",36063,19
"Oneida County, NY",36065,19
"Onondaga County, NY",36067,28
"Orange County, NY",36071,20
"Queens County, NY",36081,175
"Richmond County, NY",36085,27
"Rockland County, NY",36087,18
"Schenectady County, NY",36093,14
"Suffolk County, NY",36103,54
"Westchester County, NY",36119,37
"Alamance County, NC",37001,12
"Cumberland County, NC",37051,26
"Durham County, NC",37063,13
"Forsyth County, NC",37067,23
"Guilford County, NC",37081,26
"Harnett County, NC",37085,11
"Lenoir County, NC",37107,10
"Mecklenburg County, NC",37119,45
"Onslow County, NC",37133,11
"Pitt County, NC",37147,13
"Randolph County, NC",37151,17
"Robeson County, NC",37155,12
"Wake County, NC",37183,35
"Wayne County, NC",37191,12
"Butler County, OH",39017,20
"Clermont County, OH",39025,11
"Columbiana County, OH",39029,12
"Cuyahoga County, OH",39035,71
"Delaware County, OH",39041,12
"Franklin County, OH",39049,78
"Hamilton County, OH",39061,51
"Lorain County, OH",39093,14
"Lucas County, OH",39095,29
"Mahoning County, OH",39099,11
"Montgomery County, OH",39113,41
"Stark County, OH",39151,15
"Summit County, OH",39153,28
"Trumbull County, OH",39155,13
"Wayne County, OH",39169,11
"Canadian County, OK",40017,11
"Cleveland County, OK",40027,19
"Comanche County, OK",40031,10
"Oklahoma County, OK",40109,68
"Tulsa County, OK",40143,47
"Clackamas County, OR",41005,13
"Lane County, OR",41039,15
"Marion County, OR",41047,16
"Multnomah County, OR",41051,36
"Washington County, OR",41067,16
"Allegheny County, PA",42003,45
"Berks County, PA",42011,13
"Bucks County, PA",42017,22
"Chester County, PA",42029,10
"Cumberland County, PA",42041,14
"Delaware County, PA",42045,30
"Erie County, PA",42049,12
"Lancaster County, PA",42071,18
"Lehigh County, PA",42077,20
"Luzerne County, PA",42079,19
"Monroe County, PA",42089,12
"Montgomery County, PA",42091,26
"Northampton County, PA",42095,14
"Philadelphia County, PA",42101,171
"Westmoreland County, PA",42129,11
"York County, PA",42133,18
"Providence County, RI",44007,23
"Aiken County, SC",45003,11
"Anderson County, SC",45007,18
"Berkeley County, SC",45015,11
"Charleston County, SC",45019,23
"Florence County, SC",45041,11
"Greenville County, SC",45045,29
"Horry County, SC",45051,19
"Lexington County, SC",45063,17
"Orangeburg County, SC",45075,15
"Pickens County, SC",45077,11
"Richland County, SC",45079,35
"Spartanburg County, SC",45083,22
"York County, SC",45091,18
"Minnehaha County, SD",46099,12
"Davidson County, TN",47037,50
"Hamilton County, TN",47065,17
"Knox County, TN",47093,25
"Montgomery County, TN",47125,13
"Rutherford County, TN",47149,17
"Shelby County, TN",47157,101
"Angelina County, TX",48005,14
"Bell County, TX",48027,19
"Bexar County, TX",48029,159
"Bowie County, TX",48037,15
"Brazoria County, TX",48039,35
"Brazos County, TX",48041,11
"Cameron County, TX",48061,28
"Collin County, TX",48085,35
"Dallas County, TX",48113,256
"Denton County, TX",48121,35
"Ellis County, TX",48139,10
"El Paso County, TX",48141,42
"Fort Bend County, TX",48157,44
"Galveston County, TX",48167,28
"Harris County, TX",48201,448
"Hidalgo County, TX",48215,51
"Jefferson County, TX",48245,24
"Johnson County, TX",48251,10
"Lubbock County, TX",48303,27
"McLennan County, TX",48309,31
"Montgomery County, TX",48339,29
"Nueces County, TX",48355,22
"Orange County, TX",48361,12
"Parker County, TX",48367,10
"Randall County, TX",48381,10
"Rusk County, TX",48401,11
"Smith County, TX",48423,14
"Tarrant County, TX",48439,171
"Taylor County, TX",48441,11
"Travis County, TX",48453,62
"Webb County, TX",48479,19
"Wichita County, TX",48485,12
"Williamson County, TX",48491,26
"Davis County, UT",49011,21
"Salt Lake County, UT",49035,70
"Utah County, UT",49049,29
"Washington County, UT",49053,12
"Fairfax County, VA",51059,27
"Henrico County, VA",51087,11
"Loudoun County, VA",51107,11
"Prince William County, VA",51153,19
"Chesapeake city, VA",51550,14
"Hampton city, VA",51650,14
"Newport News city, VA",51700,15
"Norfolk city, VA",51710,18
"Richmond city, VA",51760,19
"Roanoke city, VA",51770,11
